SRA sample ID,SRA number,Sequencing Platform,Age (years),Accuracy of birth date,Ordinal rank,Sex,Body Mass Index (kg/m2),Age-adjusted BMI,Cumulative Early Adversity Score,Dyadic Social Connectedness (F to F),Depth (millions of reads sequenced),Bisulfite conversion rate,Predicted epigenetic age (years) from n=277 model,Predicted epigenetic age (years) from n=286 model
AMB_204,PRJNA648767,HiSeq 4000,8.2108,Within < 1 week,2,F,34.71391658,-0.786652235,0,1.126124511,10.986067,0.999318916,8.846568673,8.942631927
AMB_35,SRP058411,HiSeq 2000,3.9617,Within < 1 week,NA,F,29.36664778,-0.670226195,1,NA,19.652847,0.999434933,4.997852885,5.407539241
AMB_205,PRJNA648767,HiSeq 4000,4.4983,Within < 1 week,17,M,31.41482075,-0.297660401,0,NA,13.587532,0.998014761,5.64580468,5.124985315
AMB_206,PRJNA648767,HiSeq 4000,9.692,Within < 1 week,5,M,50.67363467,3.796339827,0,NA,8.099797,0.998081291,8.74183448,9.40705195
AMB_64,SRP058411,HiSeq 2000,6.4832,Within < 1 week,17,M,40.37877283,-0.488797362,0,NA,23.506928,0.996677846,6.603851091,6.195519194
AMB_207,PRJNA648767,HiSeq 4000,5.2786,Within < 1 week,9,F,37.73167191,3.179660722,1,NA,6.115519,0.99816586,7.295430146,7.251140007
AMB_208,PRJNA648767,HiSeq 4000,6.7926,Within < 1 week,4,F,40.35500878,4.960542516,1,1.39963981,7.231975,0.998061588,7.923635122,7.456256969
AMB_36,SRP058411,HiSeq 2000,6.7598,Within < 1 week,NA,M,40.85747575,-1.285493056,1,NA,54.153836,0.99668466,8.695920214,8.479844439
AMB_37,SRP058411,HiSeq 2000,6.1054,Within < 1 week,11,M,36.2856317,-2.83931465,1,NA,56.944511,0.996773828,7.742797695,8.013835585
AMB_209,PRJNA648767,HiSeq 4000,10.5079,Within < 1 week,NA,F,NA,NA,2,NA,7.980438,0.998031781,7.256490799,8.400942221
AMB_210,PRJNA648767,HiSeq 4000,10.0287,Within < 1 week,6,M,47.97471623,1.136928146,1,NA,9.177628,0.99817885,9.346751171,9.669497146
AMB_211,PRJNA648767,HiSeq 4000,4.4381,Within < 1 week,2,F,30.62420579,-1.046002641,1,0.695161706,19.31103,0.997834001,7.727583239,8.061416908
AMB_212,PRJNA648767,HiSeq 4000,15.0554,Within < 1 week,3,F,38.13756272,2.12491595,1,0.907103075,19.476102,0.999296442,11.40233951,12.02422511
AMB_213,PRJNA648767,HiSeq 4000,5.7194,Within < 1 week,6,F,33.11050856,-2.203663879,1,1.17411329,12.774995,0.99938612,8.270268573,8.062637032
AMB_214,PRJNA648767,HiSeq 4000,17.0595,Within < 1 week,NA,F,40.98747,4.824886807,0,NA,27.782952,0.998081057,9.563898083,9.705832397
AMB_215,PRJNA648767,HiSeq 4000,4.6872,Within < 1 week,2,F,34.85128775,2.326864168,1,1.518707499,11.669795,0.999362346,6.837078497,6.804410784
AMB_216,PRJNA648767,HiSeq 4000,7.0062,Within < 1 week,12,M,NA,NA,2,NA,15.648324,0.997972281,6.958937224,6.419180315
